line,station
A,Inwood-207 Street
A,Dyckman Street
A,190 Street
A,181 Street
A,175 Street
A,Washington Hts-168 Street
A,163 Street-Amsterdam Avenue
A,155 Street
A,145 Street
A,135 Street
A,125 Street
A,116 Street
A,Cathedral Parkway(110 Street)
A,103 Street
A,96 Street
A,86 Street
A,81 Street-Museum of Natural History
A,72 Street
A,59 Street-Columbus Circle
A,50 Street
A,42 Street-Port Authority Bus Terminal
A,34 Street-Penn Station
A,23 Street
A,14 Street
A,West 4 Street
A,Spring Street
A,Canal Street
A,Chambers Street
A,Fulton Street
A,High Street
A,Jay Street-MetroTech
A,Hoyt Street-Schermerhorn Street
A,Lafayette Avenue
A,Clinton-Washington Avenues
A,Franklin Avenue
A,Nostrand Avenue
A,Kingston-Throop Avenues
A,Utica Avenue
A,Ralph Avenue
A,Rockaway Avenue
A,Broadway Junction(East New York) 
A,Liberty Avenue
A,Van Siclen Avenue
A,Shepherd Avenue
A,Euclid Avenue
A,Grant Avenue
A,80 Street
A,88 Street
A,Rockaway Boulevard
A,Rockaway Boulevard
A,104 Street
A,111 Street
A,Ozone Park-Lefferts Boulevard
A,Rockaway Boulevard
A,Aqueduct-North Conduit Avenue
A,Howard Beach-JFK Airport
A,Broad Channel
A,Beach 67 Street
A,Beach 60 Street
A,Beach 44 Street
A,Beach 36 Street
A,Beach 25 Street
A,Far Rockaway-Mott Avenue
A,Rockaway Park Branch
A,Broad Channel
A,Beach 90 Street
A,Beach 98 Street
A,Beach 105 Street
A,Rockaway Park Beach 116 Street 
