line,station
B,Bedford Park Boulevard
B,Kingsbridge Road
B,Fordham Road
B,182-183 Streets
B,Tremont Avenue
B,174-175 Streets
B,170 Street
B,167 Street
B,161 Street-Yankee Stadium
B,155 Street
B,145 Street
B,135 Street
B,125 Street
B,116 Street
B,Cathedral Parkway(110 Street)
B,103 Street
B,96 Street
B,86 Street
B,81 Street-Museum of Natural History
B,72 Street
B,59 Street-Columbus Circle
B,7 Avenue
B,47-50 Street-Rockefeller Center
B,42 St-Bryant Park
B,34 St-Herald Square
B,West 4 Street-Washington Square
B,Broadway-Lafayette St/Bleecker St
B,Grand Street
B,DeKalb Avenue
B,Atlantic Avenue
B,7 Avenue
B,Prospect Park
B,Church Avenue
B,Newkirk Plaza
B,Kings Highway
B,Sheepshead Bay
B,Brighton BeachB,
