line,station
C,Washington Heights-168 St
C,163 Street-Amsterdam Avenue
C,155 Street
C,145 Street
C,135 Street
C,125 Street
C,116 Street
C,Cathedral Parkway(110 Street)
C,103 Street
C,96 Street
C,86 Street
C,81 Street-Museum of Natural History
C,72 Street
C,59 Street-Columbus Circle
C,50 Street
C,42 Street-Port Authority Bus Terminal 
C,34 Street-Penn Station
C,23 Street
C,14 Street
C,West 4 Street
C,Spring Street
C,Canal Street
C,Chambers Street
C,Fulton Street
C,High Street
C,Jay Street-MetroTech
C,Hoyt Street-Schermerhorn Street
C,Lafayette Avenue
C,Clinton-Washington Avenues
C,Franklin Avenue
C,Nostrand Avenue
C,Kingston-Throop Avenues
C,Utica Avenue
C,Ralph Avenue
C,Rockaway Avenue
C,Broadway Junction(East New York)
C,Liberty Avenue
C,Van Siclen Avenue
C,Shepherd Avenue
C,Euclid Avenue
