line,station
D,Bedford Park Boulevard
D,Kingsbridge Road
D,Fordham Road
D,182-183 Streets
D,Tremont Avenue
D,174-175 Streets
D,170 Street
D,167 Street
D,161 Street-Yankee Stadium
D,155 Street
D,145 Street
D,135 Street
D,125 Street
D,116 Street
D,Cathedral Parkway(110 Street)
D,103 Street
D,96 Street
D,86 Street
D,81 Street-Museum of Natural History
D,72 Street
D,59 Street-Columbus Circle
D,7 Avenue
D,47-50 Street-Rockefeller Center
D,42 St-Bryant Park
D,34 St-Herald Square
D,West 4 Street-Washington Square
D,Broadway-Lafayette St/Bleecker St
D,Grand Street
D,DeKalb Avenue
D,Atlantic Avenue
D,7 Avenue
D,Prospect Park
D,Church Avenue
D,Newkirk Plaza
D,Kings Highway
D,Sheepshead Bay
D,Brighton BeachD,
