line,station
E,Jamaica Center-Parsons/Archer
E,Sutphin Boulevard/Archer Avenue/JFK Airport 
E,Jamaica-Van Wyck
E,Briarwood-Van Wyck Boulevard
E,Kew Gardens-Union Turnpike
E,75 Avenue
E,Forest Hills-71 Avenue
E,67 Avenue
E,63 Drive-Rego Park
E,Woodhaven Boulevard
E,Grand Avenue-Newtown
E,Elmhurst Avenue
E,Jackson Heights-Roosevelt Avenue
E,65 Street
E,Northern Boulevard
E,46 Street
E,Steinway Street
E,36 Street
E,Queens Plaza
E,Court Sq-23 St/
E,Lexington Avenue/53 Street
E,5 Avenue/53 Street
E,7 Avenue
E,50 Street
E,42 Street-Port Authority Bus Terminal
E,34 Street-Penn Station
E,23 Street
E,14 Street
E,West 4 Street
E,Spring Street
E,Canal Street
E,World Trade CenterE,
