line,station
5,Eastchester-Dyre Avenue
5,Baychester Avenue
5,Gun Hill Road
5,Pelham Parkway
5,Morris Park 
5,Nereid Av 
5,233 Street
5,225 Street
5,219 Street
5,Gun Hill Road
5,Burke Avenue
5,Allerton Avenue
5,Pelham Parkway
5,Bronx Park East
5,East 180 Street
5,West Farms Square-E Tremont Avenue
5,174 Street
5,Freeman Street
5,Simpson Street
5,Intervale Avenue
5,Prospect Avenue
5,Jackson Avenue
5,3 Avenue-149 Street
5,149 Street-Grand Concourse
5,138 Street
5,125 Street
5,86 Street
5,59 Street
5,Grand Central-42 Street
5,14 Street - Union Square/
5,Brooklyn Bridge-City Hall
5,Fulton Street
5,Wall Street
5,Bowling Green
5,Borough Hall
5,Nevins Street
5,Atlantic Avenue
5,Franklin Avenue
5,President Street
5,Sterling Street
5,Winthrop Street
5,Church Avenue
5,Beverly Road
5,Newkirk Avenue
5,Flatbush Avenue-Brooklyn College
