line,station
F,Jamaica-179 Street
F,169 Street
F,Parsons Boulevard
F,Sutphin Boulevard
F,Briarwood
F,Van Wyck Boulevard
F,Kew Gardens
F,Union Turnpike
F,75 Avenue
F,Forest Hills-71 Avenue
F,Jackson Heights-
F,Roosevelt Avenue
F,21 Street-Queensbridge
F,MANHATTAN
F,Roosevelt Island
F,Lexington Av/63 Street 
F,57 Street
F,47-50 Streets-Rockefeller Center
F,42 Street-Bryant Park
F,34 Street-Herald Square
F,23 Street
F,14 Street
F,West 4 Street
F,Broadway-Lafayette St/Bleecker St
F,Lower East Side-2 Avenue
F,Delancey Street
F,East Broadway
F,York Street
F,Jay Street-MetroTech
F,Bergen Street
F,Carroll Street
F,Smith-9 Streets
F,4 Avenue
F,7 Avenue
F,15 Street-Prospect Park
F,Fort Hamilton Parkway
F,Church Avenue
F,Ditmas Avenue
F,18 Avenue
F,Avenue I
F,Bay Parkway
F,Avenue N
F,Avenue P
F,Kings Highway
F,Avenue U
F,Avenue X
F,Neptune Avenue
F,West 8 Street-New York Aquarium
F,Coney Island-Stillwell AvenueF,
