line,station
4,Woodlawn
4,Mosholu Parkway
4,Bedford Park Boulevard-Lehman College
4,Kingsbridge Road
4,Fordham Road
4,183 Street
4,Burnside Avenue
4,176 Street
4,Mt Eden Avenue
4,170 Street
4,167 Street
4,161 Street-Yankee Stadium
4,149 Street-Grand Concourse
4,138 Street
4,125 Street
4,116 Street
4,110 Street
4,103 Street
4,96 Street
4,86 Street
4,77 Street
4,68 Street-Hunter College
4,59 Street
4,51 Street
4,Grand Central-42 Street
4,33 Street
4,28 Street
4,23 Street
4,14 Street-Union Square
4,Astor Place
4,Broadway-Lafayette St Bleecker St
4,Wheelchair Accessible
4,Spring Street
4,Canal Street
4,Brooklyn Bridge-City Hall
4,Fulton Street
4,Wall Street
4,Bowling Green
4,Borough Hall-Court Street
4,Nevins Street
4,Atlantic Avenue
4,Bergen Street
4,Grand Army Plaza
4,Eastern Parkway-Brooklyn Museum
4,Franklin Avenue
4,Nostrand Avenue
4,Kingston Avenue
4,Crown Heights-Utica Avenue
4,Sutter Avenue-Rutland Road
4,Saratoga Avenue
4,Rockaway Avenue
4,Junius Street
4,Pennsylvania Avenue
4,Van Siclen Avenue
4,New Lots Avenue
