line,station
J,Jamaica Center-Parsons/Archer
J,Sutphin Boulevard/Archer Avenue/JFK Airport
J,121 Street
J,111 Street
J,104 Street
J,Woodhaven Boulevard
J,85 Street-Forest Parkway
J,75 Street
J,Cypress Hills
J,Crescent Street
J,Norwood Avenue
J,Cleveland Street
J,Van Siclen Avenue
J,Alabama Avenue
J,Broadway Junction(Eastern Parkway)
J,Chauncey Street
J,Halsey Street
J,Gates Avenue
J,Kosciuszko Street
J,Myrtle Avenue
J,Flushing Avenue
J,Lorimer Street
J,Hewes Street
J,Marcy Avenue
J,Essex Street
J,Bowery
J,Canal Street
J,Chambers Street
J,Fulton Street
J,Broad StreetJ,
