line,station
M,Forest Hills-71 Avenue
M,67 Avenue
M,63 Drive
M,Woodhaven Boulevard
M,Grand Avenue Newtown
M,Elmhurst Avenue
M,Jackson Heights-Roosevelt Avenue
M,65 Street
M,Northern Boulevard
M,46 Street
M,Steinway Street
M,36 Street
M,Queens Plaza
M,Court Sq-23 St/
M,Lexington Avenue/53 Street
M,5 Avenue/53 Street 
M,47-50 Streets-Rockefeller Center
M,42 Street-Bryant Park
M,34 Street-Herald Square
M,23 Street
M,14 Street
M,West 4 Street
M,Broadway-Lafayette St/Bleecker St
M,Essex Street
M,Marcy Avenue
M,Hewes Street 
M,Lorimer Street 
M,Flushing Avenue 
M,Myrtle Avenue 
M,Central Avenue 
M,Knickerbocker Avenue/Myrtle Avenue
M,Myrtle-Wyckoff Avenues/Myrtle Avenue
M,Seneca Avenue/Palmetto Street
M,Forest Avenue
M,Fresh Pond Road
M,Middle Village-Metropolitan AvenueM,
