line,station
N,Astoria-Ditmars Boulevard
N,Astoria Boulevard
N,30 Avenue
N,Broadway
N,36 Avenue 
N,39 Avenue
N,Queensboro Plaza
N,Lexington Avenue
N,5 Avenue
N,57 Street
N,49 Street
N,Times Square-42 Street 
N,34 Street-Herald Square
N,28 Street
N,23 Street
N,14 Street-Union Square
N,8 Street-New York University
N,Prince Street
N,Canal Street
N,City Hall
N,Rector Street
N,Whitehall Street/South Ferry
N,Court Street-Borough Hall
N,Jay Street-MetroTech
N,DeKalb Avenue
N,Atlantic Avenue/Barclays Center/4 Avenue
N,Union Street 
N,4 Avenue/9 Street 
N,Prospect Avenue
N,25 Street
N,36 Street
N,45 Street
N,53 Street
N,59 Street
N,8 Avenue
N,Fort Hamilton Parkway 
N,New Utrecht Avenue
N,18 Avenue
N,20 Avenue
N,Bay Parkway
N,Kings Highway
N,Avenue U
N,86 Street
N,Coney Island-StillwellN,
