line,station
1,Van Cortlandt Park-242 Street
1,238 Street
1,231 Street
1,Marble Hill-225 Street
1,215 Street
1,207 Street
1,Dyckman Street
1,191 Street
1,181 Street
1,168 Street-Washington Heights
1,157 Street
1,145 Street
1,137 Street-City College
1,125 Street
1,116 Street-Columbia University
1,Cathedral Parkway(110 Street)
1,103 Street
1,96 Street
1,86 Street
1,79 Street
1,72 Street
1,66 Street-Lincoln Center
1,59 Street-Columbus Circle
1,50 Street
1,Times Square-42 Street
1,34 Street-Penn Station
1,28 Street
1,23 Street
1,18 Street
1,14 Street
1,Christopher Street-Sheridan Square
1,Houston Street
1,Canal Street
1,Franklin Street
1,Chambers Street
1,Cortlandt Street
1,Rector Street
1,South Ferry
