line,station
Q,Astoria-Ditmars Boulevard
Q,Astoria Boulevard
Q,30 Avenue
Q,Broadway
Q,36 Avenue
Q,39 Avenue
Q,Queensboro Plaza
Q,Lexington Avenue/59 Street
Q,5 Avenue/59 Street
Q,57 Street
Q,49 Street
Q,Times Square-42 Street
Q,34 Street-Herald Square
Q,28 Street
Q,23 Street
Q,14 Street-Union Square
Q,8 Street-New York University
Q,Prince Street
Q,Canal Street
Q,DeKalb Avenue
Q,Atlantic Avenue
Q,7 Avenue
Q,Prospect Park
Q,Parkside Avenue
Q,Church Avenue
Q,Beverley Road
Q,Cortelyou Road
Q,Newkirk Plaza
Q,Avenue H
Q,Avenue J
Q,Avenue M
Q,Kings Highway
Q,Avenue U
Q,Neck Road
Q,Sheepshead Bay
Q,Brighton Beach
Q,Ocean Parkway
Q,West 8 Street-New York Aquarium
Q,Coney Island-Stillwell AvenueQ,
