line,station
R,Forest Hills-71 Avenue 
R,67 Avenue
R,63 Drive/Rego Park
R,Woodhaven Boulevard 
R,Grand Avenue/Newton
R,Elmhurst Avenue
R,Jackson Heights/Roosevelt Avenue
R,65 Street
R,Northern Boulevard
R,46 Street
R,Steinway Street
R,36 Street
R,Queens Plaza
R,Lexington Avenue
R,5 Avenue
R,57 Street
R,49 Street
R,Times Square-42 Street
R,34 Street-Herald Square
R,28 Street
R,23 Street
R,14 Street-Union Square
R,8 Street-New York University
R,Prince Street
R,Canal Street
R,City Hall
R,Cortlandt Street
R,Rector Street
R,Whitehall Street South Ferry
R,Court Street-Borough Hall
R,Jay Street-MetroTech 
R,DeKalb Avenue
R,Atlantic Avenue/Barclays Center/4 Avenue
R,Union Street
R,4 Avenue/9 Street
R,Prospect Avenue
R,25 Street
R,36 Street
R,45 Street
R,53 Street
R,59 Street
R,Bay Ridge Avenue
R,77 Street
R,86 Street
R,Bay Ridge-95 StreetR,
