line,station
6,Pelham Bay Park
6,Buhre Avenue/Westchester Square-East Tremont Avenue
6,Zerega Avenue
6,Parkchester
6,Saint Lawrence Avenue
6,Morrison-Sound View Avenues
6,Elder Avenue
6,Whitlock Avenue
6,Hunts Point Avenue
6,Longwood Avenue
6,East 149 Street
6,East 143 Street-Saint Mary's Street
6,Cypress Avenue
6,Brook Avenue
6,3 Avenue-138 Street
6,125 Street
6,116 Street
6,110 Street
6,103 Street
6,96 Street
6,86 Street
6,77 Street
6,68 Street-Hunter College
6,59 Street
6,51 Street
6,Grand Central-42 Street
6,33 Street
6,28 Street
6,23 Street
6,14 Street-Union Square
6,Astor Place
6,Bleecker St
6,Spring Street
6,Canal Street
6,Brooklyn Bridge-City Hall6,
