line,station
3,Harlem-148 Street
3,145 Street
3,135 Street
3,125 Street
3,116 Street
3,Central Park North(110 Street)
3,96 Street
3,72 Street
3,Times Square-42 Street
3,34 Street-Penn Station
3,14 Street
3,Chambers Street
3,Park Place
3,Fulton Street
3,Wall Street
3,BROOKLYN
3,Clark Street
3,Borough Hall
3,Hoyt Street-Fulton Mall
3,Nevins Street
3,Atlantic Avenue
3,Bergen Street
3,Grand Army Plaza
3,Eastern Parkway-
3,Brooklyn Museum
3,Franklin Avenue
3,Nostrand Avenue
3,Kingston Avenue
3,Crown Heights-Utica Avenue
3,Sutter Avenue-Rutland Road
3,Saratoga Avenue
3,Rockaway Avenue
3,Junius Street
3,Pennsylvania Avenue 
3,Van Siclen Avenue
3,New Lots Avenue3,
