line,station
2,Wakefield-241 Street
2,Nereid Avenue
2,233 Street
2,225 Street
2,219 Street
2,Gun Hill Road
2,Burke Avenue
2,Allerton Avenue
2,Pelham Parkway
2,Bronx Park East
2,East 180 Street
2,West Farms Square-
2,East Tremont Avenue
2,174 Street
2,Freeman Street
2,Simpson Street
2,Intervale Avenue
2,Prospect Avenue
2,Jackson Avenue
2,3 Avenue-149 Street
2,149 Street-Grand Concourse
2,135 Street
2,125 Street
2,116 Street
2,Central Park North(110 Street)
2,96 Street
2,86 Street
2,79 Street
2,72 Street
2,66 Street-Lincoln Center
2,59 Street-Columbus Circle
2,50 Street
2,Times Square-42 Street
2,34 Street-Penn Station
2,28 Street
2,23 Street
2,18 Street
2,14 Street
2,Christopher Street-Sheridan Sq
2,Houston Street
2,Canal Street
2,Franklin Street
2,Chambers Street
2,Park Place
2,Fulton Street
2,Wall Street
2,Clark Street
2,Borough Hall
2,Hoyt Street
2,Nevins Street
2,Atlantic Avenue
2,Bergen Street
2,Grand Army Plaza
2,Eastern Parkway-Brooklyn Museum
2,Franklin Avenue
2,President Street
2,Sterling Street
2,Winthrop Street
2,Church Avenue
2,Beverly Road
2,Newkirk Avenue
2,Flatbush Avenue-Brooklyn College2,
